,importance_mean,importance_std
Day_Cos,0.003333333333333336,0.0023570226039551605
Volume_MA_20,0.001666666666666668,0.004714045207910321
Price_MA_Ratio_Short,0.001666666666666668,0.0023570226039551605
Momentum,0.001666666666666668,0.0023570226039551605
Fib_500_Distance,0.001666666666666668,0.0023570226039551605
Price_Volume_Trend,0.001666666666666668,0.0023570226039551605
Price_MA_Ratio_Long,0.0,0.0
Price_Change_5,0.0,0.0
Gap,0.0,0.0
Price_Position,0.0,0.0
VWAP,0.0,0.0
Vol_Change,0.0,0.0
Price_Momentum_14,0.0,0.0
MA_10,0.0,0.0
MA_50,0.0,0.0
Trend_Strength,0.0,0.0
Volume_Spike,0.0,0.0
High_Vol_Regime,0.0,0.0
VWAP_Deviation,0.0,0.0
Volume_Ratio,0.0,0.0
Day_of_Week,0.0,0.0
Bull_Divergence,0.0,0.0
Support_Distance,0.0,0.0
Breakout_Strength,0.0,0.0
RSI,0.0,0.0
Bear_Divergence,0.0,0.0
MACD_Histogram,0.0,0.0
Range_Bound_Ratio,0.0,0.0
Returns,0.0,0.0
High_Low_Position,0.0,0.0
Price_Change_1,0.0,0.0
Day_Sin,0.0,0.0
Hour_Cos,0.0,0.0
Gap_Size,0.0,0.0
Fib_236_Distance,0.0,0.0
Gap_Down,0.0,0.0
Fib_618_Distance,0.0,0.0
Williams_R,0.0,0.0
Stochastic_K,0.0,0.0
Pivot_Distance,0.0,0.0
Gap_Up,0.0,0.0
CCI,-0.001666666666666668,0.0023570226039551605
ROC,-0.001666666666666668,0.0023570226039551605
Body_Size,-0.003333333333333336,0.0023570226039551605
ATR_Normalized,-0.003333333333333336,0.0023570226039551605
Price_Range,-0.003333333333333336,0.0023570226039551605
Volume_Trend,-0.003333333333333336,0.0023570226039551605
Stochastic_D,-0.003333333333333336,0.0023570226039551605
MACD_Signal,-0.003333333333333336,0.0023570226039551605
ATR_20,-0.003333333333333336,0.0023570226039551605
MACD,-0.0050000000000000044,0.0
Lower_Shadow,-0.0050000000000000044,0.004082482904638634
Price_Change_20,-0.0050000000000000044,0.0
Market_Efficiency,-0.0050000000000000044,0.004082482904638634
Realized_Volatility_20,-0.0050000000000000044,0.004082482904638634
Hour_of_Day,-0.0050000000000000044,0.004082482904638634
Fib_382_Distance,-0.0050000000000000044,0.0
Volatility_Spike,-0.006666666666666672,0.0062360956446232425
Fib_786_Distance,-0.00833333333333334,0.0023570226039551605
Hour_Sin,-0.00833333333333334,0.0023570226039551605
TR,-0.011666666666666678,0.0023570226039551605
Resistance_Distance,-0.011666666666666678,0.0023570226039551605
Upper_Shadow,-0.014999999999999994,0.007071067811865455
